Menmonique;paramètres;;;;opcode;;;;extension
MOVHPS;xmm;m64;;;0F;;16;;r
MOVHPD;xmm;m64;;;0F;66;16;;r
MOVSHDUP;xmm;xmm/m64;;;0F;F3;16;;r
MOVHPS;m64;xmm;;;0F;;17;;r
MOVHPD;m64;xmm;;;0F;66;17;;r
PREFETCHNTA;m8;;;;0F;;18;;0
PREFETCHT0;m8;;;;0F;;18;;1
PREFETCHT1;m8;;;;0F;;18;;2
PREFETCHT2;m8;;;;0F;;18;;3
HINT_NOP;r/m16/32;;;;0F;;18;;4
HINT_NOP;r/m16/32;;;;0F;;18;;5
HINT_NOP;r/m16/32;;;;0F;;18;;6
HINT_NOP;r/m16/32;;;;0F;;18;;7
HINT_NOP;r/m16/32;;;;0F;;19;;
HINT_NOP;r/m16/32;;;;0F;;1A;;
HINT_NOP;r/m16/32;;;;0F;;1B;;
HINT_NOP;r/m16/32;;;;0F;;1C;;
HINT_NOP;r/m16/32;;;;0F;;1D;;
HINT_NOP;r/m16/32;;;;0F;;1E;;
NOP;r/m16/32;;;;0F;;1F;;0
HINT_NOP;r/m16/32;;;;0F;;1F;;1
HINT_NOP;r/m16/32;;;;0F;;1F;;2
HINT_NOP;r/m16/32;;;;0F;;1F;;3
HINT_NOP;r/m16/32;;;;0F;;1F;;4
HINT_NOP;r/m16/32;;;;0F;;1F;;5
HINT_NOP;r/m16/32;;;;0F;;1F;;6
HINT_NOP;r/m16/32;;;;0F;;1F;;7
MOV;r32;creg;;;0F;;20;;r
MOV;r32;creg;;;0F;;20;;r
MOV;r32;dreg;;;0F;;21;;r
MOV;r32;dreg;;;0F;;21;;r
MOV;creg;r32;;;0F;;22;;r
MOV;creg;r32;;;0F;;22;;r
MOV;dreg;r32;;;0F;;23;;r
MOV;dreg;r64;;;0F;;23;;r
MOVAPS;xmm;xmm/m128;;;0F;;28;;r
MOVAPD;xmm;xmm/m128;;;0F;66;28;;r
MOVAPS;xmm/m128;xmm;;;0F;;29;;r
MOVAPD;xmm/m128;xmm;;;0F;66;29;;r
CVTPI2PS;xmm;mm/m64;;;0F;;2A;;r
CVTSI2SS;xmm;r/m32;;;0F;F3;2A;;r
CVTPI2PD;xmm;mm/m64;;;0F;66;2A;;r
CVTSI2SD;xmm;r/m32;;;0F;F2;2A;;r
MOVNTPS;m128;xmm;;;0F;;2B;;r
MOVNTPD;m128;xmm;;;0F;66;2B;;r
CVTTPS2PI;mm;xmm/m64;;;0F;;2C;;r
CVTTSS2SI;r32;xmm/m32;;;0F;F3;2C;;r
CVTTPD2PI;mm;xmm/m128;;;0F;66;2C;;r
CVTTSD2SI;r32;xmm/m64;;;0F;F2;2C;;r
